dataset_name,source,source_url,license,download_date,image_count,species_available,tiger_available,individual_id_available,timestamp_available,station_id_available,gps_available,commercial_use_allowed,research_use_allowed,notes
Amur Tiger Re-identification Dataset (ATRW),LILA BC / ICCV 2019 CVWC,https://lila.science/datasets/amur-tiger-re-identification,CC BY-NC-SA 4.0,2026-08-17,371,true,true,true,false,true,false,false,true,"Contains verified individual tiger IDs (107 individuals, left/right flank views, bounding boxes)."
Caltech Camera Traps (CCT20 Benchmark),LILA BC / ECCV 2018,https://lila.science/datasets/caltech-camera-traps,CDLA Permissive 1.0,2026-08-17,850,true,false,false,true,true,true,true,true,Used for empty/blank camera trap filtering (250 images) and multi-species wildlife detection (600 images).
